rank	word	reading	pos	meaning	example	translation
1	する	する	verb	to do; to carry out; to perform	政府が住民に問う一般投票を実施しました。	The government put the question to the people in a referendum.
2	こと	こと	noun	thing; matter	彼は嫌な思い出が消えることを願っている。	He wishes to erase bad memories.
3	いる	いる	verb	to be (of animate objects); to exist	「これが探していたものだ」と彼は叫んだ。	This is what I was looking for! he exclaimed.
4	ある	ある	verb	to be; to exist; to live	応募者にふさわしい職務遂行能力があるか？	Does the applicant have suitable abilities to carry out the job?
5	人	ひと	noun	person; someone; somebody	友達を見ることによってどんな人かわかる。	You can tell what a person is like by looking at his friends.
6	日	ひ	noun	day; days	来る日も来る日も私は彼女に手紙を書いた。	I wrote her a letter every day.
7	この	この	adjective	this	このドライバーは小さすぎて役に立たない。	This screwdriver is too small to be any use.
8	これ	これ	pronoun	this; this one	「これが探していたものだ」と彼は叫んだ。	This is what I was looking for! he exclaimed.
9	年	とし	noun	year	両親が年をとったら面倒を見るつもりです。	I'll look after my parents when they get old.
10	その	その	adjective	that; the	ちょうどその時、件の二人が登校してきた。	Just then the two in question arrived at school.
11	なる	なる	verb	to become; to get; to grow	話し合わねばならないことがたくさんある。	We have a lot of ground to cover.
12	者	もの	noun	person	黙ることを知らない者は話し上手ではない。	He cannot speak well that cannot hold his tongue.
13	月	つき	noun	Moon	母には月に一回手紙を書くようにしている。	I make a point of writing to my mother once a month.
14	という	という	expression	called; named; that says	友達が多いという点で、ナンシーは幸せだ。	Nancy is happy in that she has many friends.
15	内	うち	noun	inside; within	彼は雇われて２ヶ月もしない内に首になった。	He had not been employed two months before he was fired.
16	それ	それ	pronoun	that; it	富はただそれだけでは大したものではない。	Wealth, as such, does not matter much.
17	何	なに	pronoun	what	裏に何かあると思わずにはいられなかった。	I could not but suspect that there was something behind it.
18	私	わたし	pronoun	I; me	私はいつも不思議な性格の方が好きだった。	I always liked strange personalities.
19	ため	ため	noun	good; advantage; benefit	運動のためプールにも通い始めた頃でした。	That was when I started going to the pool for exercise.
20	時	とき	noun	time; hour; moment	ちょうどその時、件の二人が登校してきた。	Just then the two in question arrived at school.
21	あり	あり	noun	ant	「親しき仲にも礼儀あり」という言葉を知らないのか？	Don't you know the saying "good manners even between friends?"
22	あっ	あっ	interjection	ah; oh	あっちっち！このお風呂、熱くて入れないよ。	Oww! Oww! Oww! The bath water is too hot.
23	今	いま	noun	now; the present time; just now	明日の今ごろ私は試験を受けているだろう。	I will be taking the exam about this time tomorrow.
24	方	ほう	noun	direction; way; side	私はいつも不思議な性格の方が好きだった。	I always liked strange personalities.
25	として	として	expression	as (i.e. in the role of); for (i.e. from the viewpoint of)	毎年私は学校用として新しいノートを買う。	Every year, I buy new notebooks for school.
26	自分	じぶん	pronoun	myself; yourself; oneself	両親は自分の子供たちの安全に責任がある。	Parents are responsible for the safety of their children.
27	俺	おれ	pronoun	I; me	俺はいつも失敗ばかりしているダメな男だ。	I'm just a boy who makes mistakes.
28	前	まえ	noun	in front (of); before (e.g. a building)	３年前に東京へ来て以来ここに住んでいる。	I came to Tokyo three years ago and have been living here ever since.
